Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue
Apocalypse Now,,1979,Tous publics avec avertissement,"2,h, ,27,m",8.4,"Drama,Mystery,War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Sam Bottoms,Laurence Fishburne,Albert Hall,Harrison Ford,Dennis Hopper,G.D. Spradlin,Jerry Ziesmer,Scott Glenn,Bo Byers,James Keane,Kerry Rossall,Ron McQueen,Tom Mason,Cynthia Wood",United States,"English,French,Vietnamese"
Alien - Le 8ème passager,Original title: Alien,1979,12,"1,h, ,57,m",8.4,"Horror,Sci-Fi","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Harry Dean Stanton,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Eddie Powell",United Kingdom,English
Cinéma Paradiso,Original title: Nuovo Cinema Paradiso,1988,Tous publics,"2,h, ,35,m",8.5,"Drama,Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,Leo Gullotta,Marco Leonardi,Pupella Maggio,Agnese Nano,Leopoldo Trieste,Salvatore Cascio,Tano Cimarosa,Nicola Di Pinto,Roberta Lena,Nino Terzo,Jacques Perrin,Nellina Laganà,Turi Giuffrida,Mariella Lo Giudice",Italy,Italian
Fenêtre sur cour,Original title: Rear Window,1954,Tous publics,"1,h, ,52,m",8.5,"Mystery,Thriller","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn,Ross Bagdasarian,Georgine Darcy,Sara Berner,Frank Cady,Jesslyn Fax,Rand Harper,Irene Winston,Havis Davenport,Jerry Antes,Barbara Bailey,Benny Bartlett,Nick Borgani",United States,English
Il était une fois dans l'Ouest,Original title: C'era una volta il West,1968,Tous publics,"2,h, ,45,m",8.5,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,Gabriele Ferzetti,Paolo Stoppa,Woody Strode,Jack Elam,Keenan Wynn,Frank Wolff,Lionel Stander,Livio Andronico,Salvatore Basile,Aldo Berti,Joseph Bradley,Frank Braña,Marilù Carteny,Saturno Cerra",Italy,"English,Italian,Spanish"
Soorarai Pottru,,2020,18,"2,h, ,33,m",9.1,Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Suriya,Paresh Rawal,Aparna Balamurali,Gaurav Pareek,Vinodhini Vaidynathan,Urvashi,Prakash Belawadi,Dan Dhanoa,Mohan Babu,Supergood Subramani,Malini Sathappan,Karunas,Kaali Venkat,Achyuth Kumar,Alysha Melani,'Poo' Ram,R.S. Shivaji,Gnanasambandam",India,"Tamil,Hindi"
Casablanca,,1942,Tous publics,"1,h, ,42,m",8.5,"Drama,Romance,War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Abdullah Abbas,Enrique Acosta,Ed Agresti,Arnet Amos",United States,"English,French,German,Italian"
"Paris, Texas",,1984,Tous publics,"2,h, ,25,m",8.1,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Sam Berry,Bernhard Wicki,Aurore Clément,Claresie Mobley,Hunter Carson,Viva,Socorro Valdez,Edward Fayton,Justin Hogg,Tom Farrell,John Lurie,Jeni Vici,Sally Norvell,Sharon Menzel,The Mydolls",West Germany,"English,Spanish"
Princess Bride,Original title: The Princess Bride,1987,Tous publics,"1,h, ,38,m",8.1,"Adventure,Family,Fantasy","While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,Christopher Guest,Wallace Shawn,André the Giant,Fred Savage,Peter Falk,Peter Cook,Mel Smith,Carol Kane,Billy Crystal,Anne Dyson,Margery Mason,Malcolm Storry,Willoughby Gray,Betsy Brantley",United Kingdom,English
Les nuits de Cabiria,Original title: Le notti di Cabiria,1957,Tous publics,"1,h, ,50,m",8.1,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,"Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,Aldo Silvani,Ennio Girolami,Mario Passante,Christian Tassou,Amedeo Nazzari,Gianni Baghino,Franco Balducci,Ciccio Barbi,Jusy Boncinelli,Loretta Capitoli,Leo Catozzo,Dominique Delouche,Edda Evangelista,Franco Fabrizi",Italy,"Italian,Latin"
Neon Genesis Evangelion: The End of Evangelion,"Original title: Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,12,"1,h, ,27,m",8.1,"Animation,Action,Drama",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,Yuriko Yamaguchi,Fumihiko Tachiki,Akira Ishida,Motomu Kiyokawa,Mugihito,Takehito Koyasu,Hiro Yûki,Miki Nagasawa,Spike Spencer,Amanda Winn Lee,Tiffany Grant,Allison Keith,Sue Ulu,Tristan MacAvery",Japan,Japanese
La bataille d'Alger,Original title: La battaglia di Algeri,1966,Tous publics,"2,h, ,1,m",8.1,"Drama,War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Franco Moruzzi,Tommaso Neri,Rouïched,Gene Wesson",Italy,"Arabic,French,English"
Fanny et Alexandre,Original title: Fanny och Alexander,1982,Not Rated,"3,h, ,8,m",8.1,Drama,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.","Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,Kristian Almgren,Carl Billquist,Axel Düberg,Allan Edwall,Siv Ericks,Ewa Fröling,Patricia Gélin,Majlis Granlund,Maria Granlund,Eva von Hanno,Sonya Hedenbratt,Olle Hilding,Svea Holst,Jarl Kulle",Sweden,"Swedish,German,Yiddish,English,French"
Before Sunset,,2004,Tous publics,"1,h, ,20,m",8.1,"Drama,Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly,Mariane Plasteig,Diabolo,Denis Evrard,Albert Delpy,Marie Pillet",United States,"English,French"
New York - Miami,Original title: It Happened One Night,1934,Tous publics,"1,h, ,45,m",8.1,"Comedy,Romance","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale,Arthur Hoyt,Blanche Friderici,Charles C. Wilson,Ernie Adams,Jessie Arnold,Irving Bacon,William Bailey,William Begg,William A. Boardway,Ward Bond,Harry C. Bradley,George P. Breakston",United States,English
Andreï Roublev,Original title: Strasti po Andreyu,1966,R,"3,h, ,25,m",8.1,"Biography,Drama,History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,Irina Tarkovskaya,Nikolay Burlyaev,Yuriy Nazarov,Yuriy Nikulin,Rolan Bykov,Nikolay Grabbe,Mikhail Kononov,Stepan Krylov,Bolot Beyshenaliev,B. Matysik,Anatoliy Obukhov,Vladimir Titov,Nikolay Glazkov,K. Aleksandrov",Soviet Union,"Russian,Italian,Tatar"
Nausicaä de la vallée du vent,Original title: Kaze no tani no Naushika,1984,Tous publics,"1,h, ,57,m",8.1,"Animation,Adventure,Sci-Fi",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Ichirô Nagai,Kôhei Miyauchi,Jôji Yanami,Minoru Yada,Rihoko Yoshida,Masako Sugaya,Takako Sasuga,Chika Sakamoto,Tarako,Yôji Matsuda,Mîna Tominaga,Mugihito,Akiko Tsuboi,Yoshiko Sakakibara",Japan,Japanese
Rocky,,1976,Tous publics,"2,h",8.1,"Drama,Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George Memmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll,Stan Shaw,Don Sherman,Billy Sands",United States,English
Amours chiennes,Original title: Amores perros,2000,12,"2,h, ,34,m",8.1,"Drama,Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Ricardo Dalmacci,Gustavo Sánchez Parra",Mexico,Spanish
Into the Wild,,2007,Tous publics,"2,h, ,28,m",8.1,"Adventure,Biography,Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters th...","Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker,Kristen Stewart,Hal Holbrook,Jim Gallien,James O'Neill,Malinda McCollum,Paul Knauls,Zach Galifianakis,Craig Mutsch,Jim Beidler,John Decker,John Hofer",United States,"English,Danish"
Rush,,2013,Tous publics,"2,h, ,3,m",8.1,"Action,Biography,Drama",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino,David Calder,Natalie Dormer,Stephen Mangan,Christian McKay,Alistair Petrie,Julian Rhind-Tutt,Colin Stinton,Jamie de Courcey,Augusto Dallara,Ilario Calvo,Patrick Baladi,Vincent Riotta,Martin Savage",United Kingdom,"English,German,Italian,French,Spanish"
In the Mood for Love,Original title: Fa yeung nin wah,2000,Tous publics,"1,h, ,38,m",8.1,"Drama,Romance","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Tony Chiu-Wai Leung,Maggie Cheung,Siu Ping-Lam,Tung Cho 'Joe' Cheung,Rebecca Pan,Kelly Lai Chen,Man-Lei Chan,Kam-Wah Koo,Szu-Ying Chien,Paulyn Sun,Roy Cheung,Po-chun Chow,Hsien Yu,Julien Carbon,Laurent Courtiaud,Charles de Gaulle",Hong Kong,"Cantonese,Shanghainese,French,Spanish"
Eskiya le bandit,Original title: Eskiya,1996,Tous publics,"2,h, ,1,m",8.2,"Crime,Drama,Thriller","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.","Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,Kamran Usluer,Ülkü Duru,Özkan Ugur,Necdet Mahfi Ayral,Kayhan Yildizoglu,Güven Hokna,Kemal Inci,Melih Çardak,Settar Tanriögen,Celal Perk,Ümit Çirak,Riza Sönmez,Romina Özipekçi,Kezban Sardan",Turkey,Turkish
Hôtel Rwanda,Original title: Hotel Rwanda,2004,Tous Public,"2,h, ,1,m",8.1,"Biography,Drama,History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge,Rosie Motene,Neil McCarthy,Mabutho 'Kid' Sithole,Nick Nolte,Fana Mokoena,Jeremiah Ndlovu,Lebo Mashile,Antonio David Lyons,Leleti Khumalo,Kgomotso Seitshohlo,Lerato Mokgotho",United Kingdom,"English,French,Kinyarwanda"
Monty Python : La Vie de Brian,Original title: Life of Brian,1979,Tous publics,"1,h, ,34,m",8.1,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Eric Idle,Terry Jones,Terence Bayler,Carol Cleveland,Kenneth Colley,Neil Innes,Charles McKeown,John Young,Gwen Taylor,Sue Jones-Davies,Peter Brett,John Case,Chris Langham,Andrew MacLachlan",United Kingdom,"English,Latin"
Rebecca,,1940,Tous publics,"2,h, ,10,m",8.1,"Drama,Mystery,Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny,C. Aubrey Smith,Gladys Cooper,Florence Bates,Melville Cooper,Leo G. Carroll,Leonard Carey,Lumsden Hare,Edward Fielding,Philip Winter,Forrester Harvey,Bunny Beatty,Billy Bevan",United States,"English,French"
Monstres & Cie,"Original title: Monsters, Inc.",2001,Tous publics,"1,h, ,32,m",8.1,"Animation,Adventure,Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi,James Coburn,Jennifer Tilly,Bob Peterson,John Ratzenberger,Frank Oz,Daniel Gerson,Steve Susskind,Bonnie Hunt,Jeff Pidgeon,Samuel Lord Black,Jack Angel,Bob Bergen,Rodger Bumpass,Gino Conforti",United States,English
Silent Voice,Original title: Koe no katachi,2016,Tous publics,"2,h, ,10,m",8.2,"Animation,Drama","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.","Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,Yûki Kaneko,Yui Ishikawa,Megumi Han,Toshiyuki Toyonaga,Mayu Matsuoka,Sachiko Kojima,Hana Takeda,Fuminori Komatsu,Ikuko Tani,Erena Kamata,Ayano Hamaguchi,Ryunosuke Watanuki,Ryô Nishitani,Takuya Masumoto",Japan,"Japanese,Japanese Sign Language"
Spotlight,,2015,Tous publics,"2,h, ,9,m",8.1,"Biography,Crime,Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Brian d'Arcy James,Stanley Tucci,Elena Wohl,Gene Amoroso,Doug Murray,Sharon McFarlane,Jamey Sheridan,Neal Huff,Billy Crudup,Robert B. Kennedy,Duane Murray,Brian Chamberlain,Michael Cyril Creighton",United States,English
Platoon,,1986,12,"2,h",8.1,"Drama,War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,Forest Whitaker,Francesco Quinn,Kevin Dillon,John C. McGinley,Reggie Johnson,Mark Moses,Corey Glover,Johnny Depp,Chris Pedersen,Bob Orwig,Corkey Ford,David Neidorf,Richard Edson,Tony Todd",United States,"English,Vietnamese"
La Haine,Original title: La haine,1995,Tous publics,"1,h, ,38,m",8.1,"Crime,Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro",France,French
Gangs of Wasseypur,,2012,Tous publics avec avertissement,"5,h, ,21,m",8.2,"Action,Comedy,Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,Jameel Khan,Piyush Mishra,Jaideep Ahlawat,Huma Qureshi,Zeishan Quadri,Vipin Sharma,Satyakam Anand,Aditya Kumar,Rajkummar Rao,Vineet Kumar Singh,Sankalp Acharekar,Aditya,Akshat,Hasrat Ali",India,Hindi
Hatchi,Original title: Hachi: A Dog's Tale,2009,Tous publics,"1,h, ,33,m",8.1,"Biography,Drama,Family",A college professor bonds with an abandoned dog he takes into his home.,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander,Erick Avari,Davenia McFadden,Robbie Sublett,Kevin DeCoste,Rob Degnan,Tora Hallström,Donna Sorbello,Frank S. Aronson,Troy Doherty,Ian Sherman,Timothy Crowe,Denece Ryland,Blake Friedman",United Kingdom,"English,Japanese"
Luke la main froide,Original title: Cool Hand Luke,1967,12,"2,h, ,7,m",8.1,"Crime,Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Lou Antonio,Robert Drivas,Jo Van Fleet,Clifton James,Morgan Woodward,Luke Askew,Marc Cavell,Richard Davalos,Robert Donner,Warren Finnerty,Dennis Hopper,John McLiam,Wayne Rogers,Harry Dean Stanton",United States,English
Logan,,2017,12 avec avertissement,"2,h, ,17,m",8.1,"Action,Drama,Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant,Elizabeth Rodriguez,Richard E. Grant,Eriq La Salle,Elise Neal,Quincy Fouse,Al Coronel,Frank Gallegos,Anthony Escobar,Reynaldo Gallegos,Krzysztof Soszynski,Stephen Dunlevy,Daniel Bernhardt,Ryan Sturz",United States,"English,Spanish"
Les Quatre Cents Coups,Original title: Les quatre cents coups,1959,Tous publics,"1,h, ,39,m",8.1,"Crime,Drama","A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon",France,"French,English"
Network - Main basse sur la TV,Original title: Network,1976,Tous publics,"2,h, ,1,m",8.1,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy,Ned Beatty,Arthur Burghardt,Bill Burrows,John Carpenter,Jordan Charney,Kathy Cronkite,Ed Crowley,Jerome Dempsey,Conchata Ferrell,Gene Gross,Stanley Grover,Cindy Grover,Darryl Hickman",United States,English
Stand by Me : Compte sur moi,Original title: Stand by Me,1986,Tous publics,"1,h, ,29,m",8.1,"Adventure,Drama","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver Lipsett,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder,Scott Beach,Richard Dreyfuss,John Cusack,Madeleine Swift,Popeye",United States,English
Mademoiselle,Original title: Ah-ga-ssi,2016,12,"2,h, ,25,m",8.1,"Drama,Romance,Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Moon So-ri,Kim Tae-ri,Yong-nyeo Lee,Min-chae Yoo,Dong-hwi Lee,Kim Hae-sook,Kyu-jung Lee,Si-eun Kim,Si-yeon Ha,Rina Takagi,Geun-hee Won,Jong-Dae Kim,Han-sun Jang,Eun-yeong Kim,Ri-woo Kim",South Korea,"Korean,Japanese"
Le salaire de la peur,,1953,Tous Public,"2,h, ,36,m",8.1,"Adventure,Drama,Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,Véra Clouzot,William Tubbs,Darío Moreno,Jo Dest,Antonio Centa,Luis De Lima,Grégoire Gromoff,Josep Palau i Fabre,Faustini,Seguna,Darling Légitimus,René Baranger,Pat Hurst,Evelio Larenagas",France,"French,English,Spanish,German,Italian,Russian"
Million Dollar Baby,,2004,Tous publics,"2,h, ,12,m",8.1,"Drama,Sport",A determined woman works with a hardened boxing trainer to become a professional.,"Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Mike Colter,Lucia Rijker,Brían F. O'Byrne,Anthony Mackie,Margo Martindale,Riki Lindhome,Michael Peña,Benito Martinez,Bruce MacVittie,David Powledge,Joe D'Angerio,Marcus Chait,Tom McCleister,Erica Grant",United States,"English,Irish Gaelic"
